id,title,price,category,rating,image
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",109.95,men's clothing,3.9,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_t.png
2,Mens Casual Premium Slim Fit T-Shirts ,22.3,men's clothing,4.1,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_t.png
3,Mens Cotton Jacket,55.99,men's clothing,4.7,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_t.png
4,Mens Casual Slim Fit,15.99,men's clothing,2.1,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_t.png
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,695.0,jewelery,4.6,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_t.png
6,Solid Gold Petite Micropave ,168.0,jewelery,3.9,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_t.png
7,White Gold Plated Princess,9.99,jewelery,3.0,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_t.png
8,Pierced Owl Rose Gold Plated Stainless Steel Double,10.99,jewelery,1.9,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_t.png
9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,64.0,electronics,3.3,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_t.png
10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,109.0,electronics,2.9,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_t.png
11,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,109.0,electronics,4.8,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_t.png
12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,114.0,electronics,4.8,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_t.png
13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,599.0,electronics,2.9,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_t.png
14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) â€“ Super Ultrawide Screen QLED ,999.99,electronics,2.2,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_t.png
15,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,56.99,women's clothing,2.6,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_t.png
16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,29.95,women's clothing,2.9,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_t.png
17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,39.99,women's clothing,3.8,https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2t.png
18,MBJ Women's Solid Short Sleeve Boat Neck V ,9.85,women's clothing,4.7,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_t.png
19,Opna Women's Short Sleeve Moisture,7.95,women's clothing,4.5,https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_t.png
20,DANVOUY Womens T Shirt Casual Cotton Short,12.99,women's clothing,3.6,https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_t.png
1,Essence Mascara Lash Princess,9.99,beauty,2.56,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp
2,Eyeshadow Palette with Mirror,19.99,beauty,2.86,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp
3,Powder Canister,14.99,beauty,4.64,https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp
4,Red Lipstick,12.99,beauty,4.36,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp
5,Red Nail Polish,8.99,beauty,4.32,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp
6,Calvin Klein CK One,49.99,fragrances,4.37,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp
7,Chanel Coco Noir Eau De,129.99,fragrances,4.26,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp
8,Dior J'adore,89.99,fragrances,3.8,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp
9,Dolce Shine Eau de,69.99,fragrances,3.96,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/1.webp
10,Gucci Bloom Eau de,79.99,fragrances,2.74,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/1.webp
11,Annibale Colombo Bed,1899.99,furniture,4.77,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp
12,Annibale Colombo Sofa,2499.99,furniture,3.92,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp
13,Bedside Table African Cherry,299.99,furniture,2.87,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp
14,Knoll Saarinen Executive Conference Chair,499.99,furniture,4.88,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/1.webp
15,Wooden Bathroom Sink With Mirror,799.99,furniture,3.59,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/1.webp
16,Apple,1.99,groceries,4.19,https://cdn.dummyjson.com/product-images/groceries/apple/1.webp
17,Beef Steak,12.99,groceries,4.47,https://cdn.dummyjson.com/product-images/groceries/beef-steak/1.webp
18,Cat Food,8.99,groceries,3.13,https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp
19,Chicken Meat,9.99,groceries,3.19,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/1.webp
20,Cooking Oil,4.99,groceries,4.8,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/1.webp
21,Cucumber,1.49,groceries,4.07,https://cdn.dummyjson.com/product-images/groceries/cucumber/1.webp
22,Dog Food,10.99,groceries,4.55,https://cdn.dummyjson.com/product-images/groceries/dog-food/1.webp
23,Eggs,2.99,groceries,2.53,https://cdn.dummyjson.com/product-images/groceries/eggs/1.webp
24,Fish Steak,14.99,groceries,3.78,https://cdn.dummyjson.com/product-images/groceries/fish-steak/1.webp
25,Green Bell Pepper,1.29,groceries,3.25,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/1.webp
26,Green Chili Pepper,0.99,groceries,3.66,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/1.webp
27,Honey Jar,6.99,groceries,3.97,https://cdn.dummyjson.com/product-images/groceries/honey-jar/1.webp
28,Ice Cream,5.49,groceries,3.39,https://cdn.dummyjson.com/product-images/groceries/ice-cream/1.webp
29,Juice,3.99,groceries,3.94,https://cdn.dummyjson.com/product-images/groceries/juice/1.webp
30,Kiwi,2.49,groceries,4.93,https://cdn.dummyjson.com/product-images/groceries/kiwi/1.webp
9,Classic Navy Blue Baseball Cap,64.0,Ropa,3.0,https://i.imgur.com/R3iobJA.jpeg
10,Classic Blue Baseball Cap,86.0,Ropa,3.0,https://i.imgur.com/wXuQ7bm.jpeg
11,Classic Red Baseball Cap,35.0,Ropa,3.0,https://i.imgur.com/cBuLvBi.jpeg
12,Classic Black Baseball Cap,58.0,Ropa,3.0,https://i.imgur.com/KeqG6r4.jpeg
14,Classic High-Waisted Athletic Shorts,43.0,Ropa,3.0,https://i.imgur.com/eGOUveI.jpeg
16,Classic White Tee - Timeless Style and Comfort,73.0,Ropa,3.0,https://i.imgur.com/Y54Bt8J.jpeg
17,Classic Black T-Shirt,35.0,Ropa,3.0,https://i.imgur.com/9DqEOV5.jpeg
18,Sleek White & Orange Wireless Gaming Controller,69.0,Electronics,3.0,https://i.imgur.com/ZANVnHE.jpeg
19,Sleek Wireless Headphone & Inked Earbud Set,44.0,Electronics,3.0,https://i.imgur.com/yVeIeDa.jpeg
20,Sleek Comfort-Fit Over-Ear Headphones,28.0,Electronics,3.0,https://i.imgur.com/SolkFEB.jpeg
22,Sleek Wireless Computer Mouse,10.0,Electronics,3.0,https://i.imgur.com/w3Y8NwQ.jpeg
23,Sleek Modern Laptop with Ambient Lighting,43.0,Electronics,3.0,https://i.imgur.com/OKn1KFI.jpeg
24,Sleek Modern Laptop for Professionals,97.0,Electronics,3.0,https://i.imgur.com/ItHcq7o.jpeg
25,Stylish Red & Silver Over-Ear Headphones,39.0,Electronics,3.0,https://i.imgur.com/YaSqa06.jpeg
27,Sleek Smartwatch with Vibrant Display,16.0,Electronics,3.0,https://i.imgur.com/LGk9Jn2.jpeg
28,Sleek Modern Leather Sofa,53.0,Furniture,3.0,https://i.imgur.com/Qphac99.jpeg
29,Mid-Century Modern Wooden Dining Table,24.0,Furniture,3.0,https://i.imgur.com/DMQHGA0.jpeg
30,Elegant Golden-Base Stone Top Dining Table,66.0,Furniture,3.0,https://i.imgur.com/NWIJKUj.jpeg
31,Modern Elegance Teal Armchair,25.0,Furniture,3.0,https://i.imgur.com/6wkyyIN.jpeg
32,Elegant Solid Wood Dining Table,67.0,Furniture,3.0,https://i.imgur.com/4lTaHfF.jpeg
33,Modern Minimalist Workstation Setup,49.0,Furniture,3.0,https://i.imgur.com/3oXNBst.jpeg
34,Modern Ergonomic Office Chair,71.0,Furniture,3.0,https://i.imgur.com/3dU0m72.jpeg
35,Futuristic Holographic Soccer Cleats,39.0,Shoes,3.0,https://i.imgur.com/qNOjJje.jpeg
36,Rainbow Glitter High Heels,39.0,Shoes,3.0,https://i.imgur.com/62gGzeF.jpeg
37,Chic Summer Denim Espadrille Sandals,33.0,Shoes,3.0,https://i.imgur.com/9qrmE1b.jpeg
38,Vibrant Runners: Bold Orange & Blue Sneakers,27.0,Shoes,3.0,https://i.imgur.com/hKcMNJs.jpeg
40,Futuristic Silver and Gold High-Top Sneaker,68.0,Shoes,3.0,https://i.imgur.com/npLfCGq.jpeg
44,Classic Blue Suede Casual Shoes,39.0,Shoes,3.0,https://i.imgur.com/sC0ztOB.jpeg
45,Sleek Futuristic Electric Bicycle,22.0,Miscellaneous,3.0,https://i.imgur.com/BG8J0Fj.jpg
46,Sleek All-Terrain Go-Kart,37.0,Miscellaneous,3.0,https://i.imgur.com/Ex5x3IU.jpg
47,Radiant Citrus Eau de Parfum,73.0,Miscellaneous,3.0,https://i.imgur.com/xPDwUb3.jpg
48,Sleek Olive Green Hardshell Carry-On Luggage,48.0,Miscellaneous,3.0,https://i.imgur.com/jVfoZnP.jpg
49,Chic Transparent Fashion Handbag,61.0,Miscellaneous,3.0,https://i.imgur.com/Lqaqz59.jpg
50,Trendy Pink-Tinted Sunglasses,38.0,Miscellaneous,3.0,https://i.imgur.com/0qQBkxX.jpg
51,Elegant Glass Tumbler Set,50.0,Miscellaneous,3.0,https://i.imgur.com/TF0pXdL.jpg
52,string,100.0,string,3.0,https://pravatar.cc/
53,Devon.Murazik,10.0,string,3.0,https://placehold.co/600x400
54,modern chair,90.0,Furniture,3.0,https://i.pinimg.com/736x/34/7a/69/347a696e924dd4a6d18ffc850655ead5.jpg
55,gamebord,89.0,Electronics,3.0,https://i.imgur.com/ZANVnHE.jpeg
56,jam,78.0,Electronics,3.0,https://i.imgur.com/PTgQlim.png
57,Classic Olive Chino Shorts,89.0,Electronics,3.0,https://i.imgur.com/0KlqHu9.jpeg
58,A sample Product 2658.4561479446343,10.0,Ropa,3.0,https://placeimg.com/640/480/any
59,A sample Product 1661.3273239219673,10.0,Ropa,3.0,https://placeimg.com/640/480/any
63,New Product,10.0,Ropa,3.0,https://placehold.co/600x400
65,Sample Productsasawsdss,20.0,Electronics,3.0,https://placehold.co/600x400
66,test product,100.0,Electronics,3.0,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_t.png
67,user_1761894049830,10.0,Ropa,3.0,https://placehold.co/600x400
69,A Test Product from a QA Candidate Akhila T,100.0,Ropa,3.0,https://placeimg.com/640/480/any
83,Another Test Product 67890,49.0,Electronics,3.0,https://i.imgur.com/ZANVnHE.jpeg
100,New Cotton Shirt2,1100.0,Ropa,3.0,https://placeimg.com/640/480/cotton
101,Mobile Phones,10.0,Ropa,3.0,https://placeimg.com/640/480/any
128,A Test Product from a QA Candidate Rajas Pitale,100.0,Ropa,3.0,https://placeimg.com/640/480/any
